mp_id,name,party,state,constituency,gender,age,education,attendance_pct,debates_count,total_questions_prs,total_questions_parsed,pvt_member_bills_count,profile_url,Health and Family Welfare,Agriculture and Farmers Welfare,Railways,Finance,Education,"Environment, Forest and Climate Change",Jal Shakti,Women and Child Development,Road Transport and Highways,Housing and Urban Affairs,Home Affairs,Commerce and Industry,Labour and Employment,Civil Aviation,Rural Development,"Consumer Affairs, Food and Public Distribution",AYUSH,Communications,Petroleum and Natural Gas,Textiles,Chemicals and Fertilizers,Law and Justice,"Fisheries, Animal Husbandry and Dairying",Tourism,Electronics and Information Technology,"Micro, Small and Medium Enterprises",Social Justice and Empowerment,Culture,Defence,New and Renewable Energy,Skill Development and Entrepreneurship,External Affairs,Youth Affairs and Sports,Human Resource Development,Power,Tribal Affairs,Information and Broadcasting,Coal,Prime Minister,Food Processing Industries,Corporate Affairs,Science and Technology,Minority Affairs,"Ports, Shipping and Waterways",Heavy Industries and Public Enterprises,Earth Sciences,Panchayati Raj,Mines,Steel,Statistics and Programme Implementation,Cooperation,Planning,Shipping,Development of North Eastern Region,Ayush,Consumer Affairs,Micro,Parliamentary Affairs,Heavy Industries,Statiscs and Programme Implementation,Atomic Energy,"Personnel, Public Grievances and Pensions",Space
bn-bache-gowda,B.N. Bache Gowda,BJP,Karnataka,Chikkballapur,Male,81 years,Graduate,38,1,32,32,0,https://prsindia.org/mptrack/17-lok-sabha/bn-bache-gowda,3,1,2,2,0,1,0,4,2,0,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annasaheb-shankar-jolle,Annasaheb Shankar Jolle,BJP,Karnataka,Chikkodi,Male,60 years,Graduate,73,9,308,308,0,https://prsindia.org/mptrack/17-lok-sabha/annasaheb-shankar-jolle,15,13,10,8,12,9,11,9,13,5,7,8,7,12,11,7,4,2,4,5,6,2,2,12,3,4,5,8,11,5,3,7,9,4,5,8,3,1,7,3,5,2,2,0,1,3,6,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0
narayanaswamy,A. Narayanaswamy,BJP,Karnataka,Chitradurga,Male,66 years,Graduate,61,4,41,41,0,https://prsindia.org/mptrack/17-lok-sabha/narayanaswamy,0,2,2,0,0,4,0,1,1,2,0,3,2,0,2,1,4,0,0,1,1,2,0,1,2,0,1,0,0,2,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nalin-kumar-kateel,Nalin Kumar Kateel,BJP,Karnataka,Dakshina Kannada,Male,57 years,Matric,70,13,353,353,0,https://prsindia.org/mptrack/17-lok-sabha/nalin-kumar-kateel,23,25,19,13,11,12,12,11,16,12,9,14,15,9,11,17,16,3,6,1,7,7,6,3,3,3,7,9,3,2,1,0,3,7,3,0,1,1,7,1,1,3,0,5,0,4,2,0,2,1,2,2,0,0,1,0,1,0,0,0,0,0,0
gowdar-mallikarjunappa-siddeswara,Gowdar Mallikarjunappa Siddeswara,BJP,Karnataka,Davanagere,Male,71 years,Matric,69,15,336,336,0,https://prsindia.org/mptrack/17-lok-sabha/gowdar-mallikarjunappa-siddeswara,9,13,8,13,8,17,6,12,9,2,12,4,8,12,4,10,11,7,2,7,8,5,5,7,6,7,9,5,9,10,6,3,2,6,7,4,6,6,5,6,3,4,2,3,7,5,4,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0
pralhad-venkatesh-joshi,Pralhad Venkatesh Joshi,BJP,Karnataka,Dharwad,Male,61 years,Graduate,N/A,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/pralhad-venkatesh-joshi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
umesh-g-jadhav,Umesh G. Jadhav,BJP,Karnataka,Gulbarga,Male,64 years,Professional Graduate,89,67,407,407,0,https://prsindia.org/mptrack/17-lok-sabha/umesh-g-jadhav,32,15,27,19,9,8,5,18,23,9,10,7,8,11,6,10,7,4,5,9,7,7,4,15,6,4,10,7,3,4,6,5,10,3,2,10,3,2,5,9,4,0,6,1,4,3,6,3,1,4,3,3,3,0,2,0,0,0,0,0,0,0,0
prajwal-revanna,Prajwal Revanna,JD(S),Karnataka,Hassan,Male,33 years,Professional Graduate,55,2,89,89,0,https://prsindia.org/mptrack/17-lok-sabha/prajwal-revanna,7,2,8,9,0,11,14,2,7,0,0,4,1,1,2,1,2,1,1,3,0,0,1,2,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
udasi-shivkumar-chanabasappa,Udasi Shivkumar Chanabasappa,BJP,Karnataka,Haveri,Male,56 years,Professional Graduate,89,62,222,222,0,https://prsindia.org/mptrack/17-lok-sabha/udasi-shivkumar-chanabasappa,14,12,7,9,3,3,10,5,7,4,7,7,9,7,3,5,9,5,5,6,4,4,5,1,6,1,4,0,1,4,2,3,0,8,5,3,3,1,3,1,3,2,2,3,2,4,1,3,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0
s-muniswamy,S. Muniswamy,BJP,Karnataka,Kolar,Male,48 years,Graduate,73,24,252,252,0,https://prsindia.org/mptrack/17-lok-sabha/s-muniswamy,18,6,11,9,8,7,9,2,14,4,6,4,7,7,1,1,0,3,2,7,0,2,4,9,7,3,7,4,19,5,5,4,8,5,2,6,1,0,3,6,2,0,1,1,1,2,4,7,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0
