mp_id,name,party,state,constituency,gender,age,education,attendance_pct,debates_count,total_questions_prs,total_questions_parsed,pvt_member_bills_count,profile_url,Health and Family Welfare,Agriculture and Farmers Welfare,Railways,Finance,Education,"Environment, Forest and Climate Change",Jal Shakti,Women and Child Development,Road Transport and Highways,Housing and Urban Affairs,Home Affairs,Commerce and Industry,Labour and Employment,Civil Aviation,Rural Development,"Consumer Affairs, Food and Public Distribution",AYUSH,Communications,Petroleum and Natural Gas,Textiles,Chemicals and Fertilizers,Law and Justice,"Fisheries, Animal Husbandry and Dairying",Tourism,Electronics and Information Technology,"Micro, Small and Medium Enterprises",Social Justice and Empowerment,Culture,Defence,New and Renewable Energy,Skill Development and Entrepreneurship,External Affairs,Youth Affairs and Sports,Human Resource Development,Power,Tribal Affairs,Information and Broadcasting,Coal,Prime Minister,Food Processing Industries,Corporate Affairs,Science and Technology,Minority Affairs,"Ports, Shipping and Waterways",Heavy Industries and Public Enterprises,Earth Sciences,Panchayati Raj,Mines,Steel,Statistics and Programme Implementation,Cooperation,Planning,Shipping,Development of North Eastern Region,Ayush,Consumer Affairs,Micro,Parliamentary Affairs,Heavy Industries,Statiscs and Programme Implementation,Atomic Energy,"Personnel, Public Grievances and Pensions",Space
balubhau-dhannorkar,Balubhau Dhannorkar,INC,Maharashtra,Chandrapur,Male,48 years,Information Not Available,65,37,281,281,0,https://prsindia.org/mptrack/17-lok-sabha/balubhau-dhannorkar,27,21,8,28,7,10,10,10,5,11,13,8,9,6,13,8,2,2,5,4,3,3,0,2,2,9,3,0,4,3,3,6,0,2,2,2,3,13,1,2,1,0,3,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subhash-ramrao-bhamre,Subhash Ramrao Bhamre,BJP,Maharashtra,Dhule,Male,70 years,Professional Post Graduate,82,19,605,605,0,https://prsindia.org/mptrack/17-lok-sabha/subhash-ramrao-bhamre,64,37,31,24,24,10,9,10,15,27,13,19,15,13,5,15,19,9,11,23,7,14,12,11,5,15,10,9,5,11,7,5,15,11,6,0,10,16,1,10,2,8,2,1,1,0,1,3,4,1,1,1,4,0,2,1,0,0,0,0,0,0,0
bharti-pravin-pawar,Bharti Pravin Pawar,BJP,Maharashtra,Dindori,Female,45 years,Doctorate,97,51,108,108,0,https://prsindia.org/mptrack/17-lok-sabha/bharti-pravin-pawar,7,15,10,3,0,2,4,5,4,5,0,6,1,4,0,1,2,1,1,5,1,1,1,2,1,0,0,2,0,0,2,0,2,7,0,3,1,1,1,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ashok-mahadeorao-nete,Ashok Mahadeorao Nete,BJP,Maharashtra,Gadchiroli-Chimur,Male,55 years,Graduate,87,49,279,279,4,https://prsindia.org/mptrack/17-lok-sabha/ashok-mahadeorao-nete,17,13,14,9,8,11,16,6,2,7,7,5,4,7,12,5,3,4,6,2,5,5,2,2,1,7,15,4,9,1,1,3,5,5,5,20,5,5,0,0,0,2,0,0,1,3,0,10,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0
sambhajirao-mane-dhairyasheel,Sambhajirao Mane Dhairyasheel,SS,Maharashtra,Hatkanangle,Male,43 years,Graduate,77,30,517,517,3,https://prsindia.org/mptrack/17-lok-sabha/sambhajirao-mane-dhairyasheel,35,29,27,19,17,16,18,7,17,9,10,16,10,20,12,9,9,16,11,10,5,8,12,11,14,10,10,9,16,9,9,7,4,4,6,3,10,3,4,3,6,5,2,1,5,7,2,4,3,1,3,1,1,0,1,0,0,0,1,0,0,0,0
hemant-patil,Hemant Patil,SS,Maharashtra,Hingoli,Male,53 years,Information Not Available,58,17,278,278,0,https://prsindia.org/mptrack/17-lok-sabha/hemant-patil,17,12,24,11,8,9,15,3,4,7,5,6,7,4,9,9,9,9,6,5,6,5,2,6,8,4,3,1,6,5,3,3,4,7,1,2,4,4,3,3,2,2,0,2,3,0,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,0
unmesh-bhaiyyasaheb-patil,Unmesh Bhaiyyasaheb Patil,BJP,Maharashtra,Jalgaon,Male,45 years,Graduate,77,133,457,457,8,https://prsindia.org/mptrack/17-lok-sabha/unmesh-bhaiyyasaheb-patil,22,16,27,12,10,12,19,17,7,9,6,14,13,10,11,12,9,14,13,11,6,9,12,13,8,14,10,6,10,10,11,3,8,2,4,10,5,7,4,8,3,3,3,1,6,4,3,2,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0
raosaheb-patil-danve,Raosaheb Patil Danve,BJP,Maharashtra,Jalna,Male,68 years,Under Graduate,N/A,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/raosaheb-patil-danve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shrikant-eknath-shinde,Shrikant Eknath Shinde,SS,Maharashtra,Kalyan,Male,37 years,Professional Post Graduate,80,116,574,574,12,https://prsindia.org/mptrack/17-lok-sabha/shrikant-eknath-shinde,33,27,37,11,10,17,19,24,8,11,8,15,19,11,13,10,9,17,12,15,12,10,14,15,12,17,11,6,16,14,12,5,6,11,6,10,5,6,7,12,5,5,4,1,5,3,3,3,4,3,3,0,1,0,0,1,0,0,0,0,0,0,0
sanjay-sadashivrao-mandlik,Sanjay Sadashivrao Mandlik,SS,Maharashtra,Kolhapur,Male,59 years,Information Not Available,63,6,605,605,0,https://prsindia.org/mptrack/17-lok-sabha/sanjay-sadashivrao-mandlik,44,44,30,31,23,30,17,5,21,10,15,23,19,28,7,17,9,11,5,8,5,11,13,9,12,7,5,13,10,6,4,11,6,6,8,3,8,7,2,3,10,13,1,3,1,9,3,3,4,0,2,3,5,0,1,0,0,0,1,0,0,0,0
sudhakar-tukaram-shrangre,Sudhakar Tukaram Shrangre,BJP,Maharashtra,Latur,Male,61 years,Inter/ Higher Secondary,86,68,513,513,3,https://prsindia.org/mptrack/17-lok-sabha/sudhakar-tukaram-shrangre,36,29,17,10,17,8,24,18,14,15,6,14,18,8,14,9,18,13,13,10,6,6,19,11,17,10,16,7,10,4,5,2,7,13,10,7,8,0,8,4,2,2,1,3,2,5,4,2,1,3,0,4,0,0,1,1,1,0,0,0,0,0,0
ranjeetsinha-hindurao-naik-nimbalkar,Ranjeetsinha Hindurao Naik Nimbalkar,BJP,Maharashtra,Madha,Male,46 years,Graduate,62,26,405,405,3,https://prsindia.org/mptrack/17-lok-sabha/ranjeetsinha-hindurao-naik-nimbalkar,34,14,16,5,20,6,14,13,12,6,9,12,16,10,13,13,11,6,6,8,7,8,13,5,11,8,8,7,5,10,7,3,5,2,8,9,1,0,1,8,1,3,2,3,4,5,6,1,1,1,3,1,0,0,2,1,1,0,0,0,0,0,0
shrirang-appa-barne,Shrirang Appa Barne,SS,Maharashtra,Maval,Male,59 years,Matric,94,167,635,635,13,https://prsindia.org/mptrack/17-lok-sabha/shrirang-appa-barne,54,46,33,30,22,28,14,9,19,10,14,24,22,24,9,18,9,10,8,12,6,10,15,12,13,10,6,11,9,9,5,12,8,10,7,1,8,11,2,3,9,9,0,3,1,7,2,3,5,2,2,2,5,0,1,0,0,0,1,0,0,0,0
gopal-chinayya-shetty,Gopal Chinayya Shetty,BJP,Maharashtra,Mumbai-North,Male,70 years,Under Matric,96,114,298,298,19,https://prsindia.org/mptrack/17-lok-sabha/gopal-chinayya-shetty,13,5,11,24,8,19,7,4,4,15,25,8,5,6,9,4,3,9,5,1,1,18,2,1,2,3,4,7,6,3,3,9,12,7,5,1,2,1,9,0,0,2,3,1,0,4,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
poonam-mahajan-alias-poonam-vajendla-rao,Poonam Mahajan Alias Poonam Vajendla Rao,BJP,Maharashtra,Mumbai-North-Central,Female,43 years,Graduate,86,7,307,307,0,https://prsindia.org/mptrack/17-lok-sabha/poonam-mahajan-alias-poonam-vajendla-rao,12,14,8,9,6,15,6,9,7,10,6,8,8,5,8,6,10,3,4,5,9,8,6,5,4,6,5,8,8,9,6,2,3,1,5,3,6,6,7,6,10,4,2,2,5,3,4,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
manoj-kotak-kishorbhai,Manoj Kotak Kishorbhai,BJP,Maharashtra,Mumbai-North-East,Male,51 years,Matric,98,53,367,367,7,https://prsindia.org/mptrack/17-lok-sabha/manoj-kotak-kishorbhai,23,8,22,15,10,18,5,5,8,16,2,21,4,11,2,5,6,6,10,7,14,4,1,6,7,4,10,4,5,10,6,8,7,3,7,10,11,0,1,7,4,3,0,10,5,3,5,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0
gajanan-chandrakant-kirtikar,Gajanan Chandrakant Kirtikar,SS,Maharashtra,Mumbai-North-West,Male,80 years,Graduate,71,41,580,580,0,https://prsindia.org/mptrack/17-lok-sabha/gajanan-chandrakant-kirtikar,43,42,26,28,23,17,15,14,23,19,11,26,13,13,14,16,11,8,14,24,5,14,7,11,6,16,11,12,3,1,5,4,6,8,6,3,7,12,3,9,5,14,0,0,0,3,0,1,1,2,0,1,3,0,0,0,0,0,1,0,0,0,0
arvind-sawant,Arvind Sawant,SS,Maharashtra,Mumbai-South,Male,72 years,Graduate,91,109,245,245,1,https://prsindia.org/mptrack/17-lok-sabha/arvind-sawant,13,13,9,15,5,16,7,4,7,11,12,6,10,3,10,2,4,9,5,5,6,7,4,2,3,4,3,2,2,3,5,4,4,2,2,3,0,1,3,1,0,2,0,9,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
rahul-ramesh-shewale,Rahul Ramesh Shewale,SS,Maharashtra,Mumbai-South-Central,Male,50 years,Diploma Course,94,143,531,531,13,https://prsindia.org/mptrack/17-lok-sabha/rahul-ramesh-shewale,40,31,37,38,23,20,13,17,18,13,15,16,12,7,10,14,5,9,14,17,12,7,11,8,9,14,6,2,7,7,9,4,4,6,6,2,3,5,3,7,4,0,1,10,4,1,1,1,2,1,1,0,1,0,0,1,2,0,0,0,0,0,0
nitin-jairam-gadkari,Nitin Jairam Gadkari,BJP,Maharashtra,Nagpur,Male,66 years,Post Graduate,N/A,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/nitin-jairam-gadkari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prataprao-patil-chikhalikar,Prataprao Patil Chikhalikar,BJP,Maharashtra,Nanded,Male,62 years,Inter/ Higher Secondary,69,18,153,153,0,https://prsindia.org/mptrack/17-lok-sabha/prataprao-patil-chikhalikar,8,6,15,4,5,4,2,5,4,5,3,2,7,5,4,3,7,4,4,2,2,2,2,4,1,0,5,0,4,0,1,0,5,3,3,3,3,0,3,3,0,1,2,2,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
heena-vaijaykumar-gavit,Heena Vaijaykumar Gavit,BJP,Maharashtra,Nandurbar,Female,36 years,Professional Post Graduate,89,78,550,550,9,https://prsindia.org/mptrack/17-lok-sabha/heena-vaijaykumar-gavit,34,26,29,14,9,14,22,22,11,19,8,15,15,7,12,9,8,12,8,14,10,16,14,14,8,15,13,6,10,12,8,3,7,11,7,12,5,15,4,13,6,7,3,1,4,2,4,4,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0
godse-hemant-tukaram,Godse Hemant Tukaram,SS,Maharashtra,Nashik,Male,53 years,Diploma Course,87,10,280,280,0,https://prsindia.org/mptrack/17-lok-sabha/godse-hemant-tukaram,7,10,6,8,7,7,1,12,6,9,3,6,4,5,15,5,12,0,6,13,7,6,7,3,5,11,1,5,0,7,12,3,3,0,1,4,3,5,5,13,9,8,2,3,2,2,3,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0
omprakash,Omprakash,SS,Maharashtra,Osmanabad,Male,40 years,Professional Graduate,92,71,362,362,1,https://prsindia.org/mptrack/17-lok-sabha/omprakash,30,15,27,21,12,9,11,8,12,12,11,4,13,7,19,8,13,11,5,15,5,7,7,8,8,6,2,1,4,4,9,2,4,4,3,3,2,4,1,2,4,0,1,0,1,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
rajendra-dhedya-gavit,Rajendra Dhedya Gavit,SS,Maharashtra,Palghar,Male,56 years,Graduate,68,31,274,274,0,https://prsindia.org/mptrack/17-lok-sabha/rajendra-dhedya-gavit,11,15,17,6,6,10,9,9,11,6,7,5,7,6,5,9,9,6,4,3,5,3,10,6,5,6,3,6,5,0,4,2,3,2,0,9,1,3,6,6,4,6,1,4,1,1,2,1,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0
sanjay-bandu-haribhau-jadhav,Sanjay (Bandu) Haribhau Jadhav,SS,Maharashtra,Parbhani,Male,56 years,Matric,49,12,346,346,0,https://prsindia.org/mptrack/17-lok-sabha/sanjay-bandu-haribhau-jadhav,28,25,26,19,10,7,13,8,10,14,8,4,17,6,20,10,11,14,5,13,5,7,3,3,5,2,1,1,1,4,9,3,8,1,4,5,0,1,0,4,2,0,0,2,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
girish-bhalchandra-bapat,Girish Bhalchandra Bapat,BJP,Maharashtra,Pune,Male,74 years,Graduate,68,27,367,367,1,https://prsindia.org/mptrack/17-lok-sabha/girish-bhalchandra-bapat,27,18,23,19,16,14,9,16,16,8,8,12,13,4,12,7,3,8,11,9,9,3,11,6,2,7,1,1,5,7,8,2,5,6,7,1,0,3,1,6,1,0,0,7,3,4,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
tatkare-sunil-dattatray,Tatkare Sunil Dattatray,NCP,Maharashtra,Raigad,Male,68 years,Information Not Available,66,42,527,527,0,https://prsindia.org/mptrack/17-lok-sabha/tatkare-sunil-dattatray,54,36,29,20,25,8,8,14,14,18,9,13,13,10,5,13,11,6,10,22,8,12,11,5,4,14,9,8,6,10,4,3,9,13,9,1,7,18,2,7,4,8,2,1,1,0,1,4,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0
krupal-balaji-tumane,Krupal Balaji Tumane,SS,Maharashtra,Ramtek,Male,58 years,Graduate,87,31,379,379,3,https://prsindia.org/mptrack/17-lok-sabha/krupal-balaji-tumane,27,16,18,19,8,16,17,14,4,17,8,10,13,3,22,8,5,12,8,4,7,3,2,7,5,5,3,4,9,11,10,6,6,5,4,3,2,9,2,4,3,0,1,0,2,0,5,4,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0
vinayak-bhaurao-raut,Vinayak Bhaurao Raut,SS,Maharashtra,Ratnagiri-Sindhudurg,Male,69 years,Post Graduate,73,108,469,469,2,https://prsindia.org/mptrack/17-lok-sabha/vinayak-bhaurao-raut,39,26,27,22,11,13,20,14,9,15,15,14,17,5,20,8,15,13,8,15,5,10,10,9,6,6,5,7,4,11,9,5,8,11,2,3,4,6,1,3,3,2,1,1,0,2,3,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
raksha-nikhil-khadase,Raksha Nikhil Khadase,BJP,Maharashtra,Raver,Female,36 years,Graduate,76,69,400,400,0,https://prsindia.org/mptrack/17-lok-sabha/raksha-nikhil-khadase,26,19,18,13,11,13,13,8,9,9,5,8,3,9,5,7,11,5,8,7,11,7,7,4,10,9,9,6,4,12,6,8,9,5,7,16,10,0,8,4,8,7,0,7,2,4,5,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0
sanjaykaka-patil,Sanjaykaka Patil,BJP,Maharashtra,Sangli,Male,59 years,Inter/ Higher Secondary,48,9,302,302,0,https://prsindia.org/mptrack/17-lok-sabha/sanjaykaka-patil,22,13,11,10,10,9,8,6,5,8,5,9,17,5,6,10,11,6,6,5,3,9,5,6,4,7,3,7,4,4,8,1,1,3,4,4,5,3,7,8,6,1,3,0,5,3,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0
shrimant-chh-udyanraje-pratapsinhmaharaj-bhonsle,Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,BJP,Maharashtra,Satara,Male,57 years,Diploma Course,16,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/shrimant-chh-udyanraje-pratapsinhmaharaj-bhonsle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shriniwas-dadasaheb-patil,Shriniwas Dadasaheb Patil,NCP,Maharashtra,Satara,Male,82 years,Post Graduate,75,36,230,230,0,https://prsindia.org/mptrack/17-lok-sabha/shriniwas-dadasaheb-patil,20,14,20,6,13,9,8,8,18,4,3,4,4,2,8,5,3,11,0,1,3,7,3,5,2,2,3,5,5,4,1,2,6,4,1,0,2,0,2,1,4,1,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sadashiv-kisan-lokhande,Sadashiv Kisan Lokhande,SS,Maharashtra,Shirdi,Male,61 years,Inter/ Higher Secondary,70,7,181,181,0,https://prsindia.org/mptrack/17-lok-sabha/sadashiv-kisan-lokhande,12,12,10,8,3,8,1,5,5,9,3,3,8,1,8,2,1,11,5,7,2,6,4,6,0,3,1,0,1,1,2,3,1,7,4,3,4,2,2,0,0,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
amol-ramsing-kolhe,Amol Ramsing Kolhe,NCP,Maharashtra,Shirur,Male,43 years,Professional Graduate,61,29,621,621,0,https://prsindia.org/mptrack/17-lok-sabha/amol-ramsing-kolhe,69,40,33,25,27,9,9,13,16,28,14,16,15,11,4,17,18,9,11,18,6,15,14,11,5,15,8,11,5,13,5,5,16,12,8,0,10,19,1,8,2,7,3,1,1,0,1,3,4,1,1,1,4,0,2,1,0,0,0,0,0,0,0
jai-sidheshwar-shivachary-mahaswamiji,Jai Sidheshwar Shivachary Mahaswamiji,BJP,Maharashtra,Solapur,Male,68 years,Doctorate,77,28,112,112,0,https://prsindia.org/mptrack/17-lok-sabha/jai-sidheshwar-shivachary-mahaswamiji,12,3,11,5,4,4,2,5,8,5,4,4,2,5,1,2,3,2,2,2,1,1,2,4,1,2,1,2,1,0,1,0,3,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rajan-baburao-vichare,Rajan Baburao Vichare,SS,Maharashtra,Thane,Male,62 years,Inter/ Higher Secondary,66,26,281,281,0,https://prsindia.org/mptrack/17-lok-sabha/rajan-baburao-vichare,14,7,22,13,9,8,7,10,10,12,8,1,15,3,4,8,13,8,5,6,6,2,5,3,4,3,11,4,3,0,5,5,5,5,2,4,2,0,4,4,2,5,2,0,4,1,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ramdas-chandrabhanji-tadas,Ramdas Chandrabhanji Tadas,BJP,Maharashtra,Wardha,Male,70 years,Under Graduate,90,59,349,349,1,https://prsindia.org/mptrack/17-lok-sabha/ramdas-chandrabhanji-tadas,27,16,20,15,10,18,12,15,17,8,2,10,9,5,15,5,7,8,12,5,9,2,7,6,2,2,5,5,4,5,2,2,7,3,1,7,4,7,3,5,5,2,1,2,1,1,3,5,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
bhavana-pundlikrao-gawali-patil,Bhavana Pundlikrao Gawali Patil,SS,Maharashtra,Yavatmal-Washim,Female,50 years,Graduate,42,12,222,222,0,https://prsindia.org/mptrack/17-lok-sabha/bhavana-pundlikrao-gawali-patil,16,12,20,7,11,7,8,20,3,12,5,7,9,1,15,4,2,5,2,3,3,1,3,3,0,1,1,3,0,5,9,0,3,0,1,0,1,1,2,2,1,0,1,0,2,0,3,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rajkumar-ranjan-singh,Rajkumar Ranjan Singh,BJP,Manipur,Inner Manipur,Male,71 years,Doctorate,94,20,10,10,0,https://prsindia.org/mptrack/17-lok-sabha/rajkumar-ranjan-singh,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lorho-s-pfoze,Lorho S. Pfoze,MP Party Name,Manipur,Outer Manipur,Male,64 years,Doctorate,83,8,39,39,0,https://prsindia.org/mptrack/17-lok-sabha/lorho-s-pfoze,6,0,0,0,4,0,0,2,3,1,0,1,0,0,0,2,0,1,1,1,0,1,0,0,1,0,2,0,0,2,0,0,0,3,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
vincent-h-pala,Vincent H Pala,INC,Meghalaya,Shillong,Male,56 years,Professional Graduate,79,17,235,235,2,https://prsindia.org/mptrack/17-lok-sabha/vincent-h-pala,25,13,2,17,9,4,9,10,6,4,15,12,5,7,2,6,1,5,4,1,2,6,3,2,3,0,5,0,0,3,2,1,2,3,3,2,2,5,5,1,4,4,0,1,4,1,1,1,0,2,0,0,1,9,0,0,0,0,0,0,0,0,0
agatha-k-sangma,Agatha K. Sangma,NPP,Meghalaya,Tura,Female,43 years,Post Graduate,76,20,40,40,0,https://prsindia.org/mptrack/17-lok-sabha/agatha-k-sangma,5,2,0,0,4,1,1,2,3,0,2,0,0,0,0,3,0,0,0,3,0,1,0,1,1,0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
c-lalrosanga,C. Lalrosanga,MNF,Mizoram,Mizoram,Male,66 years,Information Not Available,62,3,51,51,0,https://prsindia.org/mptrack/17-lok-sabha/c-lalrosanga,9,0,3,3,6,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,0,11,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
tokheho,Tokheho,NDPP,Nagaland,Nagaland,Male,67 years,Information not available,56,7,56,56,0,https://prsindia.org/mptrack/17-lok-sabha/tokheho,5,3,1,0,0,0,0,1,9,0,6,1,0,1,1,3,0,0,4,0,0,1,2,2,0,0,1,0,1,0,0,0,1,0,1,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
pramila-bisoyi,Pramila Bisoyi,BJD,Odisha,Aska,Female,75 years,Under Matric,70,8,54,54,0,https://prsindia.org/mptrack/17-lok-sabha/pramila-bisoyi,3,5,2,4,5,0,3,8,1,3,2,0,1,0,4,3,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pratap-chandra-sarangi,Pratap Chandra Sarangi,BJP,Odisha,Balasore,Male,69 years,Information Not Available,89,16,231,231,0,https://prsindia.org/mptrack/17-lok-sabha/pratap-chandra-sarangi,9,4,11,2,8,9,8,17,7,7,2,4,6,6,6,3,2,3,4,9,5,2,7,6,6,10,7,2,3,9,6,1,4,0,3,6,2,4,3,3,1,2,0,4,1,0,1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
suresh-pujari,Suresh Pujari,BJP,Odisha,Bargarh,Male,63 years,Information Not Available,92,43,31,31,0,https://prsindia.org/mptrack/17-lok-sabha/suresh-pujari,2,0,1,0,0,1,2,0,2,0,0,1,0,0,4,0,1,1,0,3,0,1,0,1,0,0,0,2,2,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chandra-sekhar-sahu,Chandra Sekhar Sahu,BJD,Odisha,Berhampur,Male,73 years,Professional Graduate,65,48,531,531,0,https://prsindia.org/mptrack/17-lok-sabha/chandra-sekhar-sahu,33,30,35,25,28,20,9,21,22,13,14,14,18,10,11,8,7,13,12,22,10,6,11,11,6,11,2,8,4,8,10,2,3,2,9,3,0,8,1,8,3,3,0,10,6,6,2,4,4,1,1,0,0,0,0,1,2,0,0,0,0,0,0
manjulata-mandal,Manjulata Mandal,BJD,Odisha,Bhadrak,Female,47 years,Information Not Available,81,20,261,261,0,https://prsindia.org/mptrack/17-lok-sabha/manjulata-mandal,21,16,9,9,15,5,0,7,9,15,5,10,4,9,5,4,8,2,4,22,4,3,6,7,1,10,1,8,1,1,6,1,1,0,0,0,4,9,0,8,0,2,0,0,0,0,0,3,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0
aparajita-sarangi,Aparajita Sarangi,BJP,Odisha,Bhubaneswar,Female,54 years,Graduate,85,36,212,212,0,https://prsindia.org/mptrack/17-lok-sabha/aparajita-sarangi,10,9,5,5,9,10,7,11,3,10,10,4,8,3,8,2,2,6,1,4,4,7,3,4,6,9,4,3,1,2,4,0,1,1,2,3,2,3,1,1,1,0,1,1,4,2,3,3,2,1,1,2,1,1,0,1,0,0,0,0,0,0,0
sangeeta-kumari-singh-deo,Sangeeta Kumari Singh Deo,BJP,Odisha,Bolangir,Female,62 years,Graduate,92,49,502,502,1,https://prsindia.org/mptrack/17-lok-sabha/sangeeta-kumari-singh-deo,32,17,18,27,20,16,12,17,11,22,6,16,14,9,15,9,6,6,4,13,16,8,9,5,11,12,13,7,8,3,6,6,2,8,9,4,12,4,6,10,5,13,1,4,6,3,3,3,0,2,4,3,2,2,1,0,0,0,0,1,0,0,0
bhartruhari-mahtab,Bhartruhari Mahtab,BJD,Odisha,Cuttack,Male,66 years,Post Graduate,91,185,311,311,10,https://prsindia.org/mptrack/17-lok-sabha/bhartruhari-mahtab,36,11,12,24,5,13,12,13,3,7,8,6,9,13,8,12,1,10,6,4,6,2,4,4,10,3,8,4,3,5,2,5,2,5,2,2,3,4,3,0,2,3,2,3,2,0,1,1,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0
mahesh-sahoo,Mahesh Sahoo,BJD,Odisha,Dhenkanal,Male,63 years,Diploma Course,62,35,204,204,0,https://prsindia.org/mptrack/17-lok-sabha/mahesh-sahoo,15,10,8,12,3,6,4,10,10,10,4,3,6,4,9,3,4,0,5,0,3,1,1,4,1,3,6,5,0,1,5,1,1,2,4,6,0,15,0,0,2,0,0,1,1,0,6,3,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0
rajashree-mallick,Rajashree Mallick,BJD,Odisha,Jagatsinghpur,Female,59 years,Doctorate,49,14,60,60,0,https://prsindia.org/mptrack/17-lok-sabha/rajashree-mallick,5,4,2,2,1,0,2,4,3,3,0,0,1,0,1,1,1,2,0,2,1,0,3,2,2,2,1,1,0,1,2,0,1,0,1,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sarmistha-sethi,Sarmistha Sethi,BJD,Odisha,Jajpur,Female,50 years,Information Not Available,58,32,214,214,0,https://prsindia.org/mptrack/17-lok-sabha/sarmistha-sethi,15,13,11,7,7,6,7,6,7,4,7,5,5,5,2,5,6,1,0,3,6,3,2,2,2,1,7,5,4,6,1,7,1,1,3,6,3,2,4,5,1,2,2,6,0,0,2,1,2,0,1,3,0,0,0,0,0,0,1,0,0,0,0
